exp_id,model,strategy,loss,remove_punct,remove_stopwords,include_history,status,val_metrics,avg_val_lenient_f1,avg_val_exact_f1
11,bert-base-uncased,multi_task,WeightedCrossEntropyLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.7096774193548387, 'exact_f1': 0.5476502032577548, 'lenient_acc': 0.8830645161290323, 'lenient_f1': 0.9314420803782506}, 'Mistake_Location': {'exact_acc': 0.4475806451612903, 'exact_f1': 0.4066018688777653, 'lenient_acc': 0.7298387096774194, 'lenient_f1': 0.8232189973614775}, 'Providing_Guidance': {'exact_acc': 0.47580645161290325, 'exact_f1': 0.45869534505898146, 'lenient_acc': 0.782258064516129, 'lenient_f1': 0.8622448979591837}, 'Actionability': {'exact_acc': 0.5645161290322581, 'exact_f1': 0.5019432599256187, 'lenient_acc': 0.7903225806451613, 'lenient_f1': 0.8555555555555555}}",0.8681153828136169,0.47872266928003004
12,bert-base-uncased,multi_task,FocalLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.8387096774193549, 'exact_f1': 0.49598856572684497, 'lenient_acc': 0.8991935483870968, 'lenient_f1': 0.9427917620137299}, 'Mistake_Location': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.42334054834054835, 'lenient_acc': 0.7661290322580645, 'lenient_f1': 0.8489583333333334}, 'Providing_Guidance': {'exact_acc': 0.6491935483870968, 'exact_f1': 0.42473283560240077, 'lenient_acc': 0.7983870967741935, 'lenient_f1': 0.8762376237623762}, 'Actionability': {'exact_acc': 0.657258064516129, 'exact_f1': 0.47178165539635253, 'lenient_acc': 0.782258064516129, 'lenient_f1': 0.848314606741573}}",0.8790755814627531,0.45396090126653665
13,roberta-base,single_task,CrossEntropyLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.8548387096774194, 'exact_f1': 0.5951990030900839, 'lenient_acc': 0.9233870967741935, 'lenient_f1': 0.9563218390804598}, 'Mistake_Location': {'exact_acc': 0.7016129032258065, 'exact_f1': 0.42719862719862717, 'lenient_acc': 0.7782258064516129, 'lenient_f1': 0.8593350383631714}, 'Providing_Guidance': {'exact_acc': 0.6532258064516129, 'exact_f1': 0.5194624130794344, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.8775510204081632}, 'Actionability': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.48433432085465483, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8732394366197183}}",0.8916118336178782,0.5065485910557
14,roberta-base,single_task,WeightedCrossEntropyLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.5806451612903226, 'exact_f1': 0.4836564268992272, 'lenient_acc': 0.7983870967741935, 'lenient_f1': 0.8711340206185567}, 'Mistake_Location': {'exact_acc': 0.4274193548387097, 'exact_f1': 0.4142113627999345, 'lenient_acc': 0.7580645161290323, 'lenient_f1': 0.8421052631578947}, 'Providing_Guidance': {'exact_acc': 0.5201612903225806, 'exact_f1': 0.4949581454573037, 'lenient_acc': 0.7943548387096774, 'lenient_f1': 0.8688946015424165}, 'Actionability': {'exact_acc': 0.5887096774193549, 'exact_f1': 0.5380569820076838, 'lenient_acc': 0.7741935483870968, 'lenient_f1': 0.838150289017341}}",0.8550710435840522,0.48272072929103726
15,roberta-base,single_task,FocalLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.8508064516129032, 'exact_f1': 0.5947748885847634, 'lenient_acc': 0.9274193548387096, 'lenient_f1': 0.9587155963302753}, 'Mistake_Location': {'exact_acc': 0.7096774193548387, 'exact_f1': 0.4534808273591923, 'lenient_acc': 0.7903225806451613, 'lenient_f1': 0.8624338624338624}, 'Providing_Guidance': {'exact_acc': 0.6411290322580645, 'exact_f1': 0.4758068168437452, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.8805970149253731}, 'Actionability': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.5348975772681118, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.8659217877094972}}",0.891917065349752,0.5147400275139532
16,roberta-base,multi_task,CrossEntropyLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.8467741935483871, 'exact_f1': 0.5499558248138331, 'lenient_acc': 0.9112903225806451, 'lenient_f1': 0.9495412844036697}, 'Mistake_Location': {'exact_acc': 0.6814516129032258, 'exact_f1': 0.42741444988636007, 'lenient_acc': 0.7620967741935484, 'lenient_f1': 0.8443271767810027}, 'Providing_Guidance': {'exact_acc': 0.6693548387096774, 'exact_f1': 0.5174714725970349, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8899755501222494}, 'Actionability': {'exact_acc': 0.6653225806451613, 'exact_f1': 0.4628251929208447, 'lenient_acc': 0.7983870967741935, 'lenient_f1': 0.861878453038674}}",0.886430616086399,0.48941673505451816
17,roberta-base,multi_task,WeightedCrossEntropyLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.35599461158509205, 'lenient_acc': 0.7459677419354839, 'lenient_f1': 0.8467153284671532}, 'Mistake_Location': {'exact_acc': 0.34274193548387094, 'exact_f1': 0.25237797198204254, 'lenient_acc': 0.6935483870967742, 'lenient_f1': 0.819047619047619}, 'Providing_Guidance': {'exact_acc': 0.592741935483871, 'exact_f1': 0.2481012658227848, 'lenient_acc': 0.7580645161290323, 'lenient_f1': 0.8623853211009175}, 'Actionability': {'exact_acc': 0.5201612903225806, 'exact_f1': 0.3436162993125018, 'lenient_acc': 0.6491935483870968, 'lenient_f1': 0.7535410764872521}}",0.8204223362757355,0.3000225371756053
18,roberta-base,multi_task,FocalLoss,False,False,True,success,"{'Mistake_Identification': {'exact_acc': 0.842741935483871, 'exact_f1': 0.5222306956700682, 'lenient_acc': 0.907258064516129, 'lenient_f1': 0.9463869463869464}, 'Mistake_Location': {'exact_acc': 0.717741935483871, 'exact_f1': 0.5142382321236076, 'lenient_acc': 0.7862903225806451, 'lenient_f1': 0.8586666666666667}, 'Providing_Guidance': {'exact_acc': 0.6290322580645161, 'exact_f1': 0.46877851396882203, 'lenient_acc': 0.7943548387096774, 'lenient_f1': 0.8734491315136477}, 'Actionability': {'exact_acc': 0.6411290322580645, 'exact_f1': 0.4646643803808095, 'lenient_acc': 0.7540322580645161, 'lenient_f1': 0.8211143695014663}}",0.8749042785171819,0.49247795553582685
19,distilbert-base-uncased,single_task,CrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.875, 'exact_f1': 0.6075200833928186, 'lenient_acc': 0.9395161290322581, 'lenient_f1': 0.9645390070921985}, 'Mistake_Location': {'exact_acc': 0.7741935483870968, 'exact_f1': 0.6099537037037037, 'lenient_acc': 0.8467741935483871, 'lenient_f1': 0.8920454545454546}, 'Providing_Guidance': {'exact_acc': 0.6814516129032258, 'exact_f1': 0.4511954503249768, 'lenient_acc': 0.8306451612903226, 'lenient_f1': 0.895}, 'Actionability': {'exact_acc': 0.7298387096774194, 'exact_f1': 0.6016536298350831, 'lenient_acc': 0.8669354838709677, 'lenient_f1': 0.9020771513353115}}",0.9134154032432412,0.5675807168141456
20,distilbert-base-uncased,single_task,WeightedCrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.6491935483870968, 'exact_f1': 0.6023382528055425, 'lenient_acc': 0.9354838709677419, 'lenient_f1': 0.9620853080568721}, 'Mistake_Location': {'exact_acc': 0.5120967741935484, 'exact_f1': 0.47981475119915523, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.8762886597938144}, 'Providing_Guidance': {'exact_acc': 0.4959677419354839, 'exact_f1': 0.48744990336690064, 'lenient_acc': 0.7782258064516129, 'lenient_f1': 0.8517520215633423}, 'Actionability': {'exact_acc': 0.6975806451612904, 'exact_f1': 0.6177584923997388, 'lenient_acc': 0.8548387096774194, 'lenient_f1': 0.8977272727272727}}",0.8969633155353254,0.5468403499428343
21,distilbert-base-uncased,single_task,FocalLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8991935483870968, 'exact_f1': 0.7284749960629359, 'lenient_acc': 0.9596774193548387, 'lenient_f1': 0.9764150943396226}, 'Mistake_Location': {'exact_acc': 0.7540322580645161, 'exact_f1': 0.5843969249141663, 'lenient_acc': 0.8306451612903226, 'lenient_f1': 0.8894736842105263}, 'Providing_Guidance': {'exact_acc': 0.6733870967741935, 'exact_f1': 0.4465887266692771, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8860759493670886}, 'Actionability': {'exact_acc': 0.7217741935483871, 'exact_f1': 0.5618183973447132, 'lenient_acc': 0.8548387096774194, 'lenient_f1': 0.8953488372093024}}",0.911828391281635,0.5803197612477731
22,distilbert-base-uncased,multi_task,CrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8790322580645161, 'exact_f1': 0.6137196898390928, 'lenient_acc': 0.9435483870967742, 'lenient_f1': 0.966824644549763}, 'Mistake_Location': {'exact_acc': 0.7258064516129032, 'exact_f1': 0.4819620323592904, 'lenient_acc': 0.8104838709677419, 'lenient_f1': 0.8712328767123287}, 'Providing_Guidance': {'exact_acc': 0.6895161290322581, 'exact_f1': 0.5383723299690745, 'lenient_acc': 0.8266129032258065, 'lenient_f1': 0.8911392405063291}, 'Actionability': {'exact_acc': 0.7379032258064516, 'exact_f1': 0.549612637847932, 'lenient_acc': 0.8790322580645161, 'lenient_f1': 0.9137931034482759}}",0.9107474663041741,0.5459166725038475
23,distilbert-base-uncased,multi_task,WeightedCrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.7782258064516129, 'exact_f1': 0.6616655794737986, 'lenient_acc': 0.9395161290322581, 'lenient_f1': 0.9645390070921985}, 'Mistake_Location': {'exact_acc': 0.6330645161290323, 'exact_f1': 0.5152571234626707, 'lenient_acc': 0.782258064516129, 'lenient_f1': 0.8516483516483516}, 'Providing_Guidance': {'exact_acc': 0.5766129032258065, 'exact_f1': 0.5064176806124884, 'lenient_acc': 0.8024193548387096, 'lenient_f1': 0.8733850129198967}, 'Actionability': {'exact_acc': 0.6653225806451613, 'exact_f1': 0.5672245128951411, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.8536585365853658}}",0.8858077270614532,0.5626412241110247
24,distilbert-base-uncased,multi_task,FocalLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8870967741935484, 'exact_f1': 0.6680269937073581, 'lenient_acc': 0.9435483870967742, 'lenient_f1': 0.9669811320754716}, 'Mistake_Location': {'exact_acc': 0.7379032258064516, 'exact_f1': 0.581412841687472, 'lenient_acc': 0.8346774193548387, 'lenient_f1': 0.8888888888888888}, 'Providing_Guidance': {'exact_acc': 0.6653225806451613, 'exact_f1': 0.5679297689624713, 'lenient_acc': 0.8387096774193549, 'lenient_f1': 0.8994974874371859}, 'Actionability': {'exact_acc': 0.717741935483871, 'exact_f1': 0.5623761481001841, 'lenient_acc': 0.8669354838709677, 'lenient_f1': 0.9048991354466859}}",0.915066660962058,0.5949364381143714
25,bert-base-uncased,single_task,CrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.875, 'exact_f1': 0.6056955479705904, 'lenient_acc': 0.9354838709677419, 'lenient_f1': 0.9620853080568721}, 'Mistake_Location': {'exact_acc': 0.7419354838709677, 'exact_f1': 0.572346588802373, 'lenient_acc': 0.8346774193548387, 'lenient_f1': 0.8831908831908832}, 'Providing_Guidance': {'exact_acc': 0.6814516129032258, 'exact_f1': 0.44801579798743724, 'lenient_acc': 0.8467741935483871, 'lenient_f1': 0.9073170731707317}, 'Actionability': {'exact_acc': 0.7338709677419355, 'exact_f1': 0.6016941240377188, 'lenient_acc': 0.8508064516129032, 'lenient_f1': 0.8902077151335311}}",0.9107002448880046,0.5569380146995299
26,bert-base-uncased,single_task,WeightedCrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8064516129032258, 'exact_f1': 0.6293135520166961, 'lenient_acc': 0.9153225806451613, 'lenient_f1': 0.9496402877697842}, 'Mistake_Location': {'exact_acc': 0.7217741935483871, 'exact_f1': 0.5961732741466402, 'lenient_acc': 0.8266129032258065, 'lenient_f1': 0.8795518207282913}, 'Providing_Guidance': {'exact_acc': 0.5725806451612904, 'exact_f1': 0.5344578201917399, 'lenient_acc': 0.8346774193548387, 'lenient_f1': 0.8946015424164524}, 'Actionability': {'exact_acc': 0.657258064516129, 'exact_f1': 0.6026816124560486, 'lenient_acc': 0.8629032258064516, 'lenient_f1': 0.9}}",0.9059484127286319,0.5906565647027813
27,bert-base-uncased,single_task,FocalLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8669354838709677, 'exact_f1': 0.6672512736670878, 'lenient_acc': 0.9395161290322581, 'lenient_f1': 0.9645390070921985}, 'Mistake_Location': {'exact_acc': 0.7459677419354839, 'exact_f1': 0.5671101078077823, 'lenient_acc': 0.8225806451612904, 'lenient_f1': 0.8810810810810811}, 'Providing_Guidance': {'exact_acc': 0.6814516129032258, 'exact_f1': 0.47840567614606977, 'lenient_acc': 0.842741935483871, 'lenient_f1': 0.9041769041769042}, 'Actionability': {'exact_acc': 0.7137096774193549, 'exact_f1': 0.5916343765524094, 'lenient_acc': 0.8709677419354839, 'lenient_f1': 0.9047619047619048}}",0.9136397242780221,0.5761003585433373
28,bert-base-uncased,multi_task,CrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8709677419354839, 'exact_f1': 0.5679620507206714, 'lenient_acc': 0.9354838709677419, 'lenient_f1': 0.9622641509433962}, 'Mistake_Location': {'exact_acc': 0.7298387096774194, 'exact_f1': 0.47771637331847244, 'lenient_acc': 0.8145161290322581, 'lenient_f1': 0.8770053475935828}, 'Providing_Guidance': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.45223844418340137, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8860759493670886}, 'Actionability': {'exact_acc': 0.7096774193548387, 'exact_f1': 0.49695121951219506, 'lenient_acc': 0.8508064516129032, 'lenient_f1': 0.900804289544236}}",0.9065374343620759,0.49871702193368506
29,bert-base-uncased,multi_task,WeightedCrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8629032258064516, 'exact_f1': 0.6390947311663423, 'lenient_acc': 0.9274193548387096, 'lenient_f1': 0.9569377990430622}, 'Mistake_Location': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.5346927959187403, 'lenient_acc': 0.8145161290322581, 'lenient_f1': 0.8770053475935828}, 'Providing_Guidance': {'exact_acc': 0.6491935483870968, 'exact_f1': 0.5219768017902595, 'lenient_acc': 0.8225806451612904, 'lenient_f1': 0.8877551020408163}, 'Actionability': {'exact_acc': 0.6693548387096774, 'exact_f1': 0.5959438169243505, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8615384615384616}}",0.8958091775539808,0.5729270364499232
30,bert-base-uncased,multi_task,FocalLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.875, 'exact_f1': 0.6017382525027674, 'lenient_acc': 0.9395161290322581, 'lenient_f1': 0.965034965034965}, 'Mistake_Location': {'exact_acc': 0.7338709677419355, 'exact_f1': 0.4751207729468599, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8818897637795275}, 'Providing_Guidance': {'exact_acc': 0.7016129032258065, 'exact_f1': 0.47168312336851664, 'lenient_acc': 0.842741935483871, 'lenient_f1': 0.9017632241813602}, 'Actionability': {'exact_acc': 0.6895161290322581, 'exact_f1': 0.47766032417195214, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8773841961852861}}",0.9065180372952847,0.506550618247524
31,roberta-base,single_task,CrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8790322580645161, 'exact_f1': 0.6417730789590087, 'lenient_acc': 0.9395161290322581, 'lenient_f1': 0.964200477326969}, 'Mistake_Location': {'exact_acc': 0.7298387096774194, 'exact_f1': 0.46412173684900954, 'lenient_acc': 0.8064516129032258, 'lenient_f1': 0.875}, 'Providing_Guidance': {'exact_acc': 0.6935483870967742, 'exact_f1': 0.5966464509379815, 'lenient_acc': 0.8467741935483871, 'lenient_f1': 0.9040404040404041}, 'Actionability': {'exact_acc': 0.7298387096774194, 'exact_f1': 0.5912252292005767, 'lenient_acc': 0.8669354838709677, 'lenient_f1': 0.9032258064516129}}",0.9116166719547465,0.5734416239866441
32,roberta-base,single_task,WeightedCrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8225806451612904, 'exact_f1': 0.6595982004802663, 'lenient_acc': 0.9395161290322581, 'lenient_f1': 0.965675057208238}, 'Mistake_Location': {'exact_acc': 0.3870967741935484, 'exact_f1': 0.40041279669762647, 'lenient_acc': 0.7741935483870968, 'lenient_f1': 0.8444444444444444}, 'Providing_Guidance': {'exact_acc': 0.6129032258064516, 'exact_f1': 0.551358024691358, 'lenient_acc': 0.8306451612903226, 'lenient_f1': 0.8939393939393939}, 'Actionability': {'exact_acc': 0.6854838709677419, 'exact_f1': 0.6438627249136804, 'lenient_acc': 0.875, 'lenient_f1': 0.9085545722713865}}",0.9031533669658657,0.5638079366957327
33,roberta-base,single_task,FocalLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8911290322580645, 'exact_f1': 0.7499355606225836, 'lenient_acc': 0.9516129032258065, 'lenient_f1': 0.971830985915493}, 'Mistake_Location': {'exact_acc': 0.75, 'exact_f1': 0.5435761545958915, 'lenient_acc': 0.8145161290322581, 'lenient_f1': 0.875}, 'Providing_Guidance': {'exact_acc': 0.6935483870967742, 'exact_f1': 0.47061759680546755, 'lenient_acc': 0.8508064516129032, 'lenient_f1': 0.9072681704260651}, 'Actionability': {'exact_acc': 0.7419354838709677, 'exact_f1': 0.6110528897453545, 'lenient_acc': 0.875, 'lenient_f1': 0.9085545722713865}}",0.9156634321532361,0.5937955504423243
34,roberta-base,multi_task,CrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.8709677419354839, 'exact_f1': 0.5679620507206714, 'lenient_acc': 0.9354838709677419, 'lenient_f1': 0.9622641509433962}, 'Mistake_Location': {'exact_acc': 0.7338709677419355, 'exact_f1': 0.474129926680114, 'lenient_acc': 0.8145161290322581, 'lenient_f1': 0.8789473684210526}, 'Providing_Guidance': {'exact_acc': 0.7016129032258065, 'exact_f1': 0.46426661914097317, 'lenient_acc': 0.842741935483871, 'lenient_f1': 0.9032258064516129}, 'Actionability': {'exact_acc': 0.717741935483871, 'exact_f1': 0.5114092420593969, 'lenient_acc': 0.8387096774193549, 'lenient_f1': 0.8837209302325582}}",0.9070395640121549,0.5044419596502888
35,roberta-base,multi_task,WeightedCrossEntropyLoss,False,False,False,success,"{'Mistake_Identification': {'exact_acc': 0.7782258064516129, 'exact_f1': 0.6470418470418471, 'lenient_acc': 0.9354838709677419, 'lenient_f1': 0.9624413145539906}, 'Mistake_Location': {'exact_acc': 0.5483870967741935, 'exact_f1': 0.4936373580161734, 'lenient_acc': 0.7943548387096774, 'lenient_f1': 0.864}, 'Providing_Guidance': {'exact_acc': 0.5725806451612904, 'exact_f1': 0.5154804287089209, 'lenient_acc': 0.8185483870967742, 'lenient_f1': 0.8866498740554156}, 'Actionability': {'exact_acc': 0.5443548387096774, 'exact_f1': 0.5454728201230635, 'lenient_acc': 0.8346774193548387, 'lenient_f1': 0.8845070422535212}}",0.8993995577157319,0.5504081134725012
